,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes,,
Ancient Optics,FUJI EBC Primes,19mm,3.8,"8""",1.76 lbs,,110mm,PL,FF,,,,No,N/A,,,,
,,24mm,2.9,"8""",1.98 lbs,,110mm,PL,FF,,,,No,N/A,,,,
,,28mm,2.1,"12""",2.20 lbs,,110mm,PL,FF,,,,No,N/A,,,,
,,35mm,2.1,"12""",1.98 lbs,,110mm,PL,FF,,,,No,N/A,,,,
,,50mm,1.4,"16""",2.20 lbs,,110mm,PL,FF,,,,No,N/A,,,,
,,70mm,2.2,"18""",2.64 lbs,,110mm,PL,FF,,,,No,N/A,,,,
,,100m,2.9,"2' 2""",3.30 lbs,,110mm,PL,FF,,,,No,N/A,,,,
,,135mm,2.7,"3' 6""",3.74 lbs,,110mm,PL,FF,,,,No,N/A,,,,
,,,,,,,,,,,,,,,,,,
Ancient Optics,Petzvalux Primes,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes,,
,,27mm,1.9,"12""",5.62 lbs,"5.75""",136mm,LPL,FF,NO,,,No,N/A,,Features a tuning ring to adjust astigmatism and increase or decrease petzval effect.,,
,,38mm,1.7,"14""",4.52 lbs,"4""",114mm,LPL,FF,NO,,,No,N/A,,Features a tuning ring to adjust astigmatism and increase or decrease petzval effect.,,
,,44mm,1.7,"1' 5""",3.87 lbs,"4""",114mm,LPL,FF,NO,,,No,N/A,,Not currently in inventory,,
,,55mm,1.7,2',3.64 lbs,"4""",114mm,LPL,FF,NO,,,No,N/A,,Features a tuning ring to adjust astigmatism and increase or decrease petzval effect.,,
,,66mm,1.9,"2' 3""",4.46 lbs,"4.5""",114mm,LPL,FF,NO,,,No,N/A,,Not currently in inventory,,
,,80mm,1.9,"2' 9""",4.08 lbs,"4""",114mm,LPL,FF,NO,,,No,N/A,,Features a tuning ring to adjust astigmatism and increase or decrease petzval effect.,,
,,120mm,1.9,3',5.73 lbs,"6""",114mm,LPL,FF,NO,,,No,N/A,,Features a tuning ring to adjust astigmatism and increase or decrease petzval effect.,,
,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes,,
Ancient Optics,TAMASHII Primes,22mm,2.2,"8""",1.46 lbs,,95mm,PL,FF,35mm OK,,,No,N/A,,Not currently in inventory / Custom vintage inspired lenses from Ancient Optics,,
,,26mm,2.2,1',1.43 lbs,,95mm,PL,FF,35mm OK,,,No,N/A,,Not currently in inventory / Custom vintage inspired lenses from Ancient Optics,,
,,29mm,2.2,1',1.71 lbs,,95mm,PL,FF,35mm OK,,,No,N/A,,Not currently in inventory / Custom vintage inspired lenses from Ancient Optics,,
,,36mm,2.3,"10""",1.49 lbs,,95mm,PL,FF,35mm OK,,,No,N/A,,Not currently in inventory / Custom vintage inspired lenses from Ancient Optics,,
,,42mm,2,"1' 3""",1.29 lbs,,95mm,PL,FF,35mm OK,,,No,N/A,,Not currently in inventory / Custom vintage inspired lenses from Ancient Optics,,
,,52mm,1.9,"1' 4""",1.40 lbs,,95mm,PL,FF,35mm OK,,,No,N/A,,Not currently in inventory / Custom vintage inspired lenses from Ancient Optics,,
,,58mm,1.5,"1' 7""",1.51 lbs,,95mm,PL,FF,35mm OK,,,No,N/A,,Not currently in inventory / Custom vintage inspired lenses from Ancient Optics,,
,,88mm,2,"1' 10""",2.32 lbs,,95mm,PL,FF,35mm OK,,,No,N/A,,Not currently in inventory / Custom vintage inspired lenses from Ancient Optics,,
,,110mm,2.1,"2' 6""",2.49 lbs,,95mm,PL,FF,35mm OK,,,No,N/A,,Not currently in inventory / Custom vintage inspired lenses from Ancient Optics,,
,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes,,
Angenieux,Optimo Prime,18mm,2,"1' 2""",4.18 lbs,"6.30""",95mm,PL,46.31mm,NO,9,None,Yes,N/A,2020,Lens becomes T2.8 with Oval Iris,,
,,21mm,1.8,"1' 2""",3.96 lbs,"5.51""",95mm,PL,46.31mm,NO,9,None,Yes,N/A,2020,Lens becomes T2.6 with Oval Iris,,
,,24mm,1.8,"1' 2""",3.75 lbs,"5.04""",95mm,PL,46.31mm,NO,9,None,Yes,N/A,2020,Lens becomes T2.6 with Oval Iris,,
,,28mm,1.8,"1' 2""",3.75 lbs,"5.04""",95mm,PL,46.31mm,NO,9,None,Yes,N/A,2020,Lens becomes T2.6 with Oval Iris,,
,,32mm,1.8,"1' 2""",3.75 lbs,"5.04""",95mm,PL,46.31mm,NO,9,None,Yes,N/A,2020,Lens becomes T2.6 with Oval Iris,,
,,40mm,1.8,"1' 2""",3.75 lbs,"5.04""",95mm,PL,46.31mm,NO,9,None,Yes,N/A,2020,Lens becomes T2.6 with Oval Iris,,
,,50mm,1.8,"1' 4""",3.75 lbs,"5.04""",95mm,PL,46.31mm,NO,9,None,Yes,N/A,2020,Lens becomes T2.6 with Oval Iris,,
,,60mm,1.8,"1' 8""",3.75 lbs,"5.04""",95mm,PL,46.31mm,NO,9,None,Yes,N/A,2020,Lens becomes T2.6 with Oval Iris,,
,,75mm,1.8,2',3.75 lbs,"5.04""",95mm,PL,46.31mm,NO,9,None,Yes,N/A,2020,Lens becomes T2.6 with Oval Iris,,
,,100mm,1.8,"2' 4""",3.96 lbs,"5.04""",95mm,PL,46.31mm,NO,9,None,Yes,N/A,2020,Lens becomes T2.6 with Oval Iris,,
,,135mm,1.8,"3' 3""",4.4 lbs,"5.51""",95mm,PL,46.31mm,NO,9,None,Yes,N/A,2020,Lens becomes T2.6 with Oval Iris,,
,,200mm,2.2,4',5.07 lbs,"7.48""",114mm,PL,46.31mm,NO,9,None,Yes,N/A,2020,Lens becomes T3.2 with Oval Iris,,
,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes,,
ARRI,Ensō,10.5mm,2.8,,,,,LPL,,NO,,,Yes,N/A,2024,Not currently in inventory,,
,,14mm,2.5,,,,,LPL,,NO,,,Yes,N/A,2024,Not currently in inventory,,
,,18mm,2.1,,,,,LPL,,NO,,,Yes,N/A,2024,Not currently in inventory,,
,,21mm,2.1,,,,,LPL,,NO,,,Yes,N/A,2024,Not currently in inventory,,
,,24mm,2.1,,,,,LPL,,NO,,,Yes,N/A,2024,Not currently in inventory,,
,,28mm,2.1,,,,,LPL,,NO,,,Yes,N/A,2024,Not currently in inventory,,
,,32mm,2.1,,,,,LPL,,NO,,,Yes,N/A,2024,Not currently in inventory,,
,,40mm,2.1,,,,,LPL,,NO,,,Yes,N/A,2024,Not currently in inventory,,
,,47mm,2.1,,,,,LPL,,NO,,,Yes,N/A,2024,Not currently in inventory,,
,,58mm,2.1,,,,,LPL,,NO,,,Yes,N/A,2024,Not currently in inventory,,
,,75mm,2.1,,,,,LPL,,NO,,,Yes,N/A,2024,Not currently in inventory,,
,,105mm,2.1,,,,,LPL,,NO,,,Yes,N/A,2024,Not currently in inventory,,
,,150mm,2.1,,,,,LPL,,NO,,,Yes,N/A,2024,Not currently in inventory,,
,,250mm,2.1,,,,,LPL,,NO,,Ensō 1.4x and 2x Extenders Only,Yes,TBD,2024,Not currently in inventory,,
,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes,,
ARRI,Signature Prime,12mm,1.8,"14""",6.2 lbs,"9.41""",134mm,LPL,46mm,NO,11,None,Yes,N/A,2019,"12mm renders image upside down, image flip must be performed.",,
,,15mm,1.8,"14""",6.1 lbs,"7.75""",156mm,LPL,46mm,NO,11,None,Yes,N/A,2019,,,
,,18mm,1.8,"14""",4.4 lbs,"7.01""",114mm,LPL,46mm,NO,11,None,Yes,N/A,2019,,,
,,21mm,1.8,"14""",4.2 lbs,"7.01""",114mm,LPL,46mm,NO,11,None,Yes,N/A,2019,,,
,,25mm,1.8,"14""",4.2 lbs,"7.01""",114mm,LPL,46mm,NO,11,None,Yes,N/A,2019,,,
,,29mm,1.8,"14""",4.0 lbs,"7.01""",114mm,LPL,46mm,NO,11,None,Yes,N/A,2019,,,
,,35mm,1.8,"14""",3.7 lbs,"7.01""",114mm,LPL,46mm,NO,11,None,Yes,N/A,2019,,,
,,40mm,1.8,"14""",4.0 lbs,"7.01""",114mm,LPL,46mm,NO,11,None,Yes,N/A,2019,,,
,,47mm,1.8,"18""",4.0 lbs,"7.01""",114mm,LPL,46mm,NO,11,None,Yes,N/A,2019,,,
,,58mm,1.8,"18""",4.4 lbs,"7.01""",114mm,LPL,46mm,NO,11,None,Yes,N/A,2019,,,
,,75mm,1.8,"26""",4.2 lbs,"7.01""",114mm,LPL,46mm,NO,11,None,Yes,N/A,2019,,,
,,95mm,1.8,"2' 9""",4.2 lbs,"7.01""",114mm,LPL,46mm,NO,11,None,Yes,N/A,2019,,,
,,125mm,1.8,"3' 4""",5.1 lbs,"7.01""",114mm,LPL,46mm,NO,11,None,Yes,N/A,2019,,,
,,150mm,1.8,5',7.3 lbs,"8.19""",114mm,LPL,46mm,NO,11,None,Yes,N/A,2019,150mm has a foot height of 18mm,,
,,200mm,2.5,6',6.13 lbs,"8.58""",114mm,LPL,46mm,NO,11,None,Yes,N/A,2019,,,
,,280mm,2.8,"8' 3""",9.48 lbs,"10.93""",134mm,LPL,46mm,NO,11,ARRI 1.7x Signature Extender,Yes,N/A,2019,,,
,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes,,
Canon,Cinema Prime (CN-E),14mm,3.1,"8""",2.65 lbs,"3.7""",114mm,EF / PL,43mm,,11,,Yes,N/A,,Not currently in inventory,,
,,24mm,1.5,"12""",2.65 lbs,"4""",114mm,EF / PL,43mm,,11,,Yes,N/A,,Not currently in inventory,,
,,35mm,1.5,"12""",2.43 lbs,"4""",114mm,EF / PL,43mm,,11,,Yes,N/A,,Not currently in inventory,,
,,50mm,1.3,"18""",2.43 lbs,"4""",114mm,EF / PL,43mm,,11,,Yes,N/A,,Not currently in inventory,,
,,85mm,1.3,"3' 2""",2.87 lbs,"4""",114mm,EF / PL,43mm,,11,,Yes,N/A,,Not currently in inventory,,
,,135mm,2.2,"3' 3""",3.1 lbs,"4.5""",114mm,EF / PL,43mm,,11,,Yes,N/A,,Not currently in inventory,,
,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes,,
Canon,FD Rehoused (GL Optics),14mm,2.9,8”,2.6 lbs,3.5”,95mm,Pl,43mm,,8,"IBE 1.4X, IBE 2X",,No,,,,
,,20mm,2.9,"10""",1.4 lbs,3”,95mm,PL,43mm,,8,"IBE 1.4X, IBE 2X, ",,No,,,,
,,24mm,1.5,1',2.42 lbs,3”,95mm,PL,43mm,,8,"IBE 1.4X, IBE 2X, ",,No,,,,
