,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes
,,,,,,,,,,,,,,,,
Ancient Optics,Series 65,25mm,3.6,"1' 2""",2.4 lbs,,110mm,LPL,65 Format,NO,,,No,N/A,2024,Not currently in inventory / Custom vintage inspired lenses from Ancient Optics
,,30mm,3.6,"8""",3.3 lbs,,110mm,LPL,65 Format,NO,,,No,N/A,,Not currently in inventory / Custom vintage inspired lenses from Ancient Optics
,,35mm,3.6,"8""",2.54 lbs,,110mm,LPL,65 Format,NO,,,No,N/A,,Not currently in inventory / Custom vintage inspired lenses from Ancient Optics
,,45mm,3.6,1',4.04 lbs,,110mm,LPL,65 Format,NO,,,No,N/A,,Not currently in inventory / Custom vintage inspired lenses from Ancient Optics
,,55mm,3.6,,,,110mm,LPL,65 Format,NO,,,No,N/A,,Not released. Not currently in inventory / Custom vintage inspired lenses from Ancient Optics
,,65mm,2.9,"1' 8""",3.46 lbs,,110mm,LPL,65 Format,NO,,,No,N/A,2024,Not currently in inventory / Custom vintage inspired lenses from Ancient Optics
,,85mm,2.9,"1' 7""",3.36 lbs,,110mm,LPL,65 Format,NO,,,No,N/A,2024,Not currently in inventory / Custom vintage inspired lenses from Ancient Optics
,,125mm,2.9,"2' 5""",4.38 lbs,,110mm,LPL,65 Format,NO,,,No,N/A,2024,Not currently in inventory / Custom vintage inspired lenses from Ancient Optics
,,175mm,2.9,"5' 3""",5.74 lbs,,110mm,LPL,65 Format,NO,,,No,N/A,2024,Not currently in inventory / Custom vintage inspired lenses from Ancient Optics
,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes
Gecko-Cam,Ayana 65,30mm,1.8,"12""",3.96 lbs,"4.64""",114mm,LPL,60+mm,NO,14,,No,N/A,2025,Not currently in inventory
,,35mm,1.8,"12""",4.18 lbs,"4.64""",114mm,LPL,60+mm,NO,14,,No,N/A,2025,Not currently in inventory
,,40mm,1.8,"12""",5.07 lbs,"5.19""",114mm,LPL,60+mm,NO,18,,No,N/A,2025,Not currently in inventory
,,45mm,1.8,"12""",5.29 lbs,"6.22""",114mm,LPL,60+mm,NO,18,,No,N/A,2025,Not currently in inventory
,,60mm,1.7,"12""",3.19 lbs,"3.93""",114mm,LPL,60+mm,NO,14,,No,N/A,2025,Not currently in inventory
,,70mm,1.7,"16""",3.5 lbs,"4.37""",114mm,LPL,60+mm,NO,14,,No,N/A,2025,Not currently in inventory
,,90mm,1.7,"20""",4.18 lbs,"5.7""",114mm,LPL,60+mm,NO,14,,No,N/A,2025,Not currently in inventory
,,140mm,1.7,"2' 4""",6.39 lbs,"7.04""",114mm,LPL,60+mm,NO,18,,No,N/A,2025,Not currently in inventory
,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes
Gecko-Cam,Genesis G65,24mm,2.8,"17""",3 lbs,"3.17""",95mm,LPL,65mm,NO,14,,No,N/A,2022,
,Gen 2,32mm,2.3,"17""",3 lbs,"3.17""",95mm,LPL,65mm,NO,14,,No,N/A,2022,
,,40mm,2.3,"17""",3 lbs,"3.17""",95mm,LPL,65mm,NO,14,,No,N/A,2022,
,,50mm,2.3,"2' 7""",3 lbs,"3.17""",95mm,LPL,65mm,NO,14,,No,N/A,2022,
,,60mm,1.6,"2' 3""",3 lbs,"3.17""",95mm,LPL,65mm,NO,14,,No,N/A,2022,
,,80mm,2.3,"2' 9""",3 lbs,"3.17""",95mm,LPL,65mm,NO,14,,No,N/A,2022,
,,110mm,2.3,"3' 10""",4.5 lbs,"5.5""",95mm,LPL,65mm,NO,14,,No,N/A,2022,
,,145mm,2.3,"6' 2""",5.5 lbs,"6.6""",95mm,LPL,65mm,NO,14,,No,N/A,2022,
,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes
Gecko-Cam,Genesis Opia,75mm,2,"20""",2.45 lbs,"3.42""",95mm,LPL,,NO,14,,No,N/A,2024,
,,85mm,2,"20""",3.02 lbs,"4.27""",95mm,LPL,,NO,14,,No,N/A,2024,
,,100mm,2,"2' 4""",3.16 lbs,"4.27""",95mm,LPL,,NO,18,,No,N/A,2024,
