Manufacturer,Series,Focal Length,T-Stop,Prime / Zoom / Special,Format,Mount,Anamorphic / Spherical,Anamorphic Squeeze Factor,Anamorphic Location,Housing,Front Diameter (mm),Close Focus,Length (in),Film Compatibility,Image Circle (mm),Iris Blade Count,Extender,LDS,i/Data,Support Recommended,Support Post Length (mm),Weight (lbs),Manufacture Year,Expander,Heden Motor Size,Size,Notes,Look,Use Case,Bokeh,Flare,Focus Falloff,Breathing,Focus Scale,Original Name
Master,Master Prime,12mm,1.3,Prime,,PL,,,,Original Housing,,,,,,,,,,,,,,,,,Prime,,,,,,,,12mm Master Prime T1.3
Master,Master Prime,14mm,1.3,Prime,,PL,,,,Original Housing,,,,,,,,,,,,,,,,,Prime,,,,,,,,14mm Master Prime T1.3
Master,Master Prime,16mm,1.3,Prime,,PL,,,,Original Housing,,,,,,,,,,,,,,,,,Prime,,,,,,,,16mm Master Prime T1.3
Master,Master Prime,18mm,1.3,Prime,,PL,,,,Original Housing,,,,,,,,,,,,,,,,,Prime,,,,,,,,18mm Master Prime T1.3
Master,Master Prime,21mm,1.3,Prime,,PL,,,,Original Housing,,,,,,,,,,,,,,,,,Prime,,,,,,,,21mm Master Prime T1.3
Master,Master Prime,25mm,1.3,Prime,,PL,,,,Original Housing,,,,,,,,,,,,,,,,,Prime,,,,,,,,25mm Master Prime T1.3
Master,Master Prime,27mm,1.3,Prime,,PL,,,,Original Housing,,,,,,,,,,,,,,,,,Prime,,,,,,,,27mm Master Prime T1.3
Master,Master Prime,32mm,1.3,Prime,,PL,,,,Original Housing,,,,,,,,,,,,,,,,,Prime,,,,,,,,32mm Master Prime T1.3
Master,Master Prime,35mm,1.3,Prime,,PL,,,,Original Housing,,,,,,,,,,,,,,,,,Prime,,,,,,,,35mm Master Prime T1.3
Master,Master Prime,40mm,1.3,Prime,,PL,,,,Original Housing,,,,,,,,,,,,,,,,,Prime,,,,,,,,40mm Master Prime T1.3
Master,Master Prime,50mm,1.3,Prime,,PL,,,,Original Housing,,,,,,,,,,,,,,,,,Prime,,,,,,,,50mm Master Prime T1.3
Master,Master Prime,65mm,1.3,Prime,,PL,,,,Original Housing,,,,,,,,,,,,,,,,,Prime,,,,,,,,65mm Master Prime T1.3
Master,Master Prime,75mm,1.3,Prime,,PL,,,,Original Housing,,,,,,,,,,,,,,,,,Prime,,,,,,,,75mm Master Prime T1.3
Master,Master Prime,100mm,1.3,Prime,,PL,,,,Original Housing,,,,,,,,,,,,,,,,,Prime,,,,,,,,100mm Master Prime T1.3
