Manufacturer,Series,Focal Length,T-Stop,Prime / Zoom / Special,Format,Mount,Anamorphic / Spherical,Anamorphic Squeeze Factor,Anamorphic Location,Housing,Front Diameter (mm),Close Focus,Length (in),Film Compatibility,Image Circle (mm),Iris Blade Count,Extender,LDS,i/Data,Support Recommended,Support Post Length (mm),Weight (lbs),Manufacture Year,Expander,Heden Motor Size,Size,Notes,Use Case,Look,Bokeh,Flare,Focus Falloff,Breathing,Focus Scale,Original ESC Name
Ancient Optics,Series 65,65,T2.9,Prime,,LPL,Spherical,,,Ancient Optics,,,,,,,,,,,,,,,,,LPL,,,,,,,,65mm Sereis 65 T2.9 (LPL) - Ancient Optics
Ancient Optics,Series 65,85,T2.9,Prime,,LPL,Spherical,,,Ancient Optics,,,,,,,,,,,,,,,,,LPL,,,,,,,,85mm Series 65mm T2.9 (LPL) - Ancient Optics
Ancient Optics,Series 65,175,T2.9,Prime,,LPL,Spherical,,,Ancient Optics,,,,,,,,,,,,,,,,,LPL,,,,,,,,175mm Series 65mm T2.9 (LPL) - Ancient Optics
Ancient Optics,Petzvalux,44,T1.7,Prime,,LPL,Spherical,,,Ancient Optics,,,,,,,,,,,,,,,,,LPL,,,,,,,,44mm Petzvalux T1.7 (LPL) - Ancient Optics
Ancient Optics,Petzvalux,66,T1.9,Prime,,LPL,Spherical,,,Ancient Optics,,,,,,,,,,,,,,,,,LPL,,,,,,,,66mm Petzvalux T1.9 (LPL) - Ancient Optics
Ancient Optics,Petzvalux,27,T1.9,Prime,,,Spherical,,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,27mm Ancient Optics Petzvalux T1.9
Ancient Optics,Petzvalux,38,T1.7,Prime,,,Spherical,,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,38mm Ancient Optics Petzvalux T1.7
Ancient Optics,Petzvalux,55,T1.7,Prime,,,Spherical,,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,55mm Ancient Optics Petzvalux T1.7
Ancient Optics,Petzvalux,80,T1.9,Prime,,,Spherical,,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,80mm Ancient Optics Petzvalux T1.9
Ancient Optics,Petzvalux,120,T1.9,Prime,,,Spherical,,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,120mm Ancient Optics Petzvalux T1.9
Ancient Optics,Phenix,28-70,T2.8,Zoom,,,Spherical,,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,28-70mm Ancient Optics Phenix Zoom T2.8
Ancient Optics,Phenix,28-70,T2.7,Zoom,,,Spherical,,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,28-70mm Ancient Optics Phenix Zoom T2.7
Ancient Optics,Phenix,28-70,T2.9,Zoom,,,Spherical,,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,28-70mm Ancient Optics Phenix Zoom T2.9
Ancient Optics,Phenix,28-70,T2.10,Zoom,,,Spherical,,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,28-70mm Ancient Optics Phenix Zoom T2.10
Ancient Optics,Phenix,28-70,T2.11,Zoom,,,Spherical,,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,28-70mm Ancient Optics Phenix Zoom T2.11
