Manufacturer,Series,Focal Length,T-Stop,Prime / Zoom / Special,Format,Mount,Anamorphic / Spherical,Anamorphic Squeeze Factor,Anamorphic Location,Housing,Front Diameter (mm),Close Focus,Length (in),Film Compatibility,Image Circle (mm),Iris Blade Count,Extender,LDS,i/Data,Support Recommended,Support Post Length (mm),Weight (lbs),Manufacture Year,Expander,Heden Motor Size,Size,Notes,Use Case,Look,Bokeh,Flare,Focus Falloff,Breathing,Focus Scale,Original ESC Name
ancient optics,series 65,65,2.9,prime,,lpl,spherical,,,ancient optics,,,,,,,,,,,,,,,,,lpl,,,,,,,,65mm sereis 65 t2.9 (lpl) - ancient optics
ancient optics,series 65,85,2.9,prime,,lpl,spherical,,,ancient optics,,,,,,,,,,,,,,,,,lpl,,,,,,,,85mm series 65mm t2.9 (lpl) - ancient optics
ancient optics,series 65,175,2.9,prime,,lpl,spherical,,,ancient optics,,,,,,,,,,,,,,,,,lpl,,,,,,,,175mm series 65mm t2.9 (lpl) - ancient optics
ancient optics,petzvalux,44,1.7,prime,,lpl,spherical,,,ancient optics,,,,,,,,,,,,,,,,,lpl,,,,,,,,44mm petzvalux t1.7 (lpl) - ancient optics
ancient optics,petzvalux,66,1.9,prime,,lpl,spherical,,,ancient optics,,,,,,,,,,,,,,,,,lpl,,,,,,,,66mm petzvalux t1.9 (lpl) - ancient optics
ancient optics,petzvalux,27,1.9,prime,,,spherical,,,ancient optics,,,,,,,,,,,,,,,,,,,,,,,,,27mm ancient optics petzvalux t1.9
ancient optics,petzvalux,38,1.7,prime,,,spherical,,,ancient optics,,,,,,,,,,,,,,,,,,,,,,,,,38mm ancient optics petzvalux t1.7
ancient optics,petzvalux,55,1.7,prime,,,spherical,,,ancient optics,,,,,,,,,,,,,,,,,,,,,,,,,55mm ancient optics petzvalux t1.7
ancient optics,petzvalux,80,1.9,prime,,,spherical,,,ancient optics,,,,,,,,,,,,,,,,,,,,,,,,,80mm ancient optics petzvalux t1.9
ancient optics,petzvalux,120,1.9,prime,,,spherical,,,ancient optics,,,,,,,,,,,,,,,,,,,,,,,,,120mm ancient optics petzvalux t1.9
ancient optics,phenix,28-70,2.8,zoom,,,spherical,,,ancient optics,,,,,,,,,,,,,,,,,,,,,,,,,28-70mm ancient optics phenix zoom t2.8
ancient optics,phenix,28-70,2.7,zoom,,,spherical,,,ancient optics,,,,,,,,,,,,,,,,,,,,,,,,,28-70mm ancient optics phenix zoom t2.7
ancient optics,phenix,28-70,2.9,zoom,,,spherical,,,ancient optics,,,,,,,,,,,,,,,,,,,,,,,,,28-70mm ancient optics phenix zoom t2.9
ancient optics,phenix,28-70,2.10,zoom,,,spherical,,,ancient optics,,,,,,,,,,,,,,,,,,,,,,,,,28-70mm ancient optics phenix zoom t2.10
ancient optics,phenix,28-70,2.11,zoom,,,spherical,,,ancient optics,,,,,,,,,,,,,,,,,,,,,,,,,28-70mm ancient optics phenix zoom t2.11
ancient optics,phenix,28-70,2.12,zoom,,,spherical,,,ancient optics,,,,,,,,,,,,,,,,,,,,,,,,,28-70mm ancient optics phenix zoom t2.12
ancient optics,series 65,25,3.6,prime,,lpl,spherical,,,ancient optics,,,,,,,,,,,,,,,,,lpl,,,,,,,,25mm series 65 t3.6 (lpl) - ancient optics
ancient optics,series 65,30,3.6,prime,,lpl,spherical,,,ancient optics,,,,,,,,,,,,,,,,,lpl,,,,,,,,30mm series 65 t3.6 (lpl) - ancient optics
ancient optics,series 65,35,3.6,prime,,lpl,spherical,,,ancient optics,,,,,,,,,,,,,,,,,lpl,,,,,,,,35mm series 65 t3.6 (lpl) - ancient optics
ancient optics,series 65,45,3.9,prime,,lpl,spherical,,,ancient optics,,,,,,,,,,,,,,,,,lpl,,,,,,,,45mm series 65 t3.9 (lpl) - ancient optics
ancient optics,series 65,55,3.6,prime,,lpl,spherical,,,ancient optics,,,,,,,,,,,,,,,,,lpl,,,,,,,,55mm series 65 t3.6 (lpl) - ancient optics
ancient optics,series 65,125,2.9,prime,,lpl,spherical,,,ancient optics,,,,,,,,,,,,,,,,,lpl,,,,,,,,125mm series 65 t2.9 (lpl) - ancient optics
angenieux,zoom,33-198,2.9,zoom,,,spherical,,,ancient optics,,,,,,,,,,,,,,,,,,,,,,,,,20-120/24-144/33-198mm angenieux zoom t2.9 - ancient optics
angenieux,optimo,44-440,4.5,zoom,,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,44-440mm angenieux a-2s anamorphic optimo t4.5 - rear
angenieux,optimo,30-72,4,zoom,,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-72mm angenieux a-2s anamorphic optimo t4
angenieux,rear,20-120,,zoom,,,spherical,,,ancient optics,,,,,,,,,,,,,,,,,,,,,,,,,20-120mm angenieux zoom rear - ancient optics
angenieux,rear,24-144,,zoom,,,spherical,,,ancient optics,,,,,,,,,,,,,,,,,,,,,,,,,24-144mm angenieux zoom rear - ancient optics
angenieux,rear,33-198,,zoom,,,spherical,,,ancient optics,,,,,,,,,,,,,,,,,,,,,,,,,33-198mm angenieux zoom rear - ancient optics
angenieux,rear,33-198,,zoom,,,spherical,,,ancient optics,,,,,,,,,,,,,,,,,,,,,,,,,33-198mm angenieux zoom rear - ancient optics
angenieux,hr,50-500,4,zoom,,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,50-500mm angenieux anamorphic hr t4
angenieux,optimo,56-152,4,zoom,,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,56-152mm angenieux s2 anamorphic optimo  t4
angenieux,ez-2,15-40/22-60,,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-40/22-60 ez-2 front
angenieux,ez-1,30-90/45-135,,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-90/45-135 angenieux ez-1 front
angenieux,optimo,25-250/44-440,,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-250/44-440 angenieux optimo front
angenieux,ez-2,15-40,,zoom,s35,,spherical,,,,,,,,,,,,,,,,,,,,s35,,,,,,,,15-40mm angenieux ez-2 rear (s35)
angenieux,ez-2,22-60,3,zoom,ff,,spherical,,,,,,,,,,,,,,,,,,,,ff,,,,,,,,22-60mm angenieux ez-2 t3 - rear (ff)
angenieux,ez-1,30-90,2,zoom,s35,,spherical,,,,,,,,,,,,,,,,,,,,s35,,,,,,,,30-90mm angenieux ez-1 t2 - rear (s35)
angenieux,ez-1,45-135,3,zoom,ff,,spherical,,,,,,,,,,,,,,,,,,,,ff,,,,,,,,45-135mm angenieux ez-1 t3 - rear (ff)
angenieux,optimo ultra,24-290/26-320/36-435,,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,24-290/26-320/36-435 angenieux optimo ultra front
angenieux,optimo ultra,26-320,3.1,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-320 angenieux optimo ultra t3.1 - rear
angenieux,optimo style,25-250,3.5,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-250mm angenieux optimo style t3.5 - rear
angenieux,optimo ultra,24-290,2.8,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,24-290mm angenieux optimo ultra t2.8 - rear
angenieux,optimo ultra,36-435,4.2,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,36-435mm angenieux optimo ultra t4.2 - rear
angenieux,optimo ultra,36-435,4.2,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,36-435mm angenieux optimo ultra t4.2 - rear
angenieux,optimo,15-40,2.6,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-40mm angenieux optimo t2.6 - mfx
angenieux,optimo,17-80,2.2,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-80mm angenieux optimo t2.2 - mfx
angenieux,anamorphic,42-420,4.5,zoom,,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,42-420mm angeneiux anamorphic t4.5
angenieux,hr,7-81,2.4,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,7-81mm angenieux hr t2.4
angenieux,hr,25-250,3.5,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-250mm angenieux hr t3.5
angenieux,optimo,15-40,2.6,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-40mm angenieux optimo t2.6
angenieux,optimo,17-80,2.2,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-80mm angenieux optimo t2.2
angenieux,optimo,28-76,2.6,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,28-76mm angenieux optimo t2.6
angenieux,optimo,24-290,2.8,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,24-290mm angenieux optimo t2.8
angenieux,optimo,28-340,3.2,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,28-340mm angenieux optimo t3.2
angenieux,optimo,29-351,3.5,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,29-351mm angenieux optimo t3.5
angenieux,optimo,45-120,2.8,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-120mm angenieux optimo t2.8
angenieux,optimo,19.5-94,2.6,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5-94mm angenieux optimo t2.6
angenieux,optimo anamorphic,48-580,4,zoom,,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,48-580mm angenieux optimo anamorphic t4
angenieux,optimo dp,16-42,2.8,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,16-42mm angenieux optimo dp t2.8
angenieux,optimo dp,30-80,2.8,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-80mm angenieux optimo dp t2.8
angenieux,optimo prime,100,1.8,prime,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm angenieux optimo prime t1.8
angenieux,optimo prime,135,1.8,prime,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,135mm angenieux optimo prime t1.8
angenieux,optimo prime,18,1.8,prime,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,18mm angenieux optimo prime t1.8
angenieux,optimo prime,21,1.8,prime,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,21mm angenieux optimo prime t1.8
angenieux,optimo prime,24,1.8,prime,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,24mm angenieux optimo prime t1.8
angenieux,optimo prime,28,1.8,prime,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,28mm angenieux optimo prime t1.8
angenieux,optimo prime,32,1.8,prime,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,32mm angenieux optimo prime t1.8
angenieux,optimo prime,40,1.8,prime,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm angenieux optimo prime t1.8
angenieux,optimo prime,50,1.8,prime,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm angenieux optimo prime t1.8
angenieux,optimo prime,60,1.8,prime,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,60mm angenieux optimo prime t1.8
angenieux,optimo prime,75,1.8,prime,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm angenieux optimo prime t1.8
angenieux,optimo ultra compact,21-56,,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,21-56mm angenieux optimo ultra compact zoom
angenieux,optimo ultra compact,37-102,2.9,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,37-102mm angenieux optimo ultra compact t2.9
angenieux,vintage,25-250,3.9,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,vintage,,,,,,25-250mm angenieux vintage  t3.9
angenieux,front,28-76,,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,uncoated,,,,,,,,28-76mm angenieux front (uncoated)
angenieux,zoom,9.5-57,1.9,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5-57mm angenieux t1.9
angenieux,zoom,11.5-138,2.3,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5-138mm angenieux t2.3
angenieux,zoom,11.5-138,2.3,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5-138mm angenieux t2.3
angenieux,prime,5.9,2,prime,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9mm angenieux t2
angenieux,zoom,11.5-138,2.3,zoom,,pl,,,,original housing,,,,,,,,,,,,,,,,,,,,,,,,,11.5-138mm angenieux t2.3
angenieux,optimo prime,200,1.8,prime,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,200mm angeniieux optimo prime t1.8
arri,master anamorphic,28,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,28mm master anamorphic standard module - front
arri,master anamorphic,35,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,35mm master anamorphic standard module - front
arri,master anamorphic,40,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm master anamorphic standard module - front
arri,master anamorphic,50,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm master anamorphic standard module - front
arri,master anamorphic,60,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,60mm master anamorphic standard module - front
arri,master anamorphic,75,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm master anamorphic standard module - front
arri,master anamorphic,100,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm master anamorphic standard module - front
arri,master anamorphic,135,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,135mm master anamorphic standard module - front
arri,master anamorphic,180,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,180mm master anamorphic standard module - front
arri,master anamorphic,28,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,28mm master anamorphic standard module - rear
arri,master anamorphic,35,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,35mm master anamorphic standard module - rear
arri,master anamorphic,40,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm master anamorphic standard module - rear
arri,master anamorphic,50,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm master anamorphic standard module - rear
arri,master anamorphic,60,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,60mm master anamorphic standard module - rear
arri,master anamorphic,75,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm master anamorphic standard module - rear
arri,master anamorphic,100,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm master anamorphic standard module - rear
arri,master anamorphic,135,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,135mm master anamorphic standard module - rear
arri,master anamorphic,180,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,180mm master anamorphic standard module - rear
arri,master anamorphic,28,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,28mm master anamorphic flare module - front
arri,master anamorphic,35,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,35mm master anamorphic flare module - front
arri,master anamorphic,40,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm master anamorphic flare module - front
arri,master anamorphic,50,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm master anamorphic flare module - front
arri,master anamorphic,60,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,60mm master anamorphic flare module - front
arri,master anamorphic,75,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm master anamorphic flare module - front
arri,master anamorphic,100,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm master anamorphic flare module - front
arri,master anamorphic,135,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,135mm master anamorphic flare module - front
arri,master anamorphic,180,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,180mm master anamorphic flare module - front
arri,master anamorphic,28,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,28mm master anamorphic flare module - rear
arri,master anamorphic,35,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,35mm master anamorphic flare module - rear
arri,master anamorphic,40,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm master anamorphic flare module - rear
arri,master anamorphic,50,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm master anamorphic flare module - rear
arri,master anamorphic,60,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,60mm master anamorphic flare module - rear
arri,master anamorphic,75,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm master anamorphic flare module - rear
arri,master anamorphic,100,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm master anamorphic flare module - rear
arri,master anamorphic,135,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,135mm master anamorphic flare module - rear
arri,master anamorphic,180,,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,180mm master anamorphic flare module - rear
arri,ultra wide zoom,19-36,4.2,zoom,,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,19-36mm arri anamorphic ultra wide zoom t4.2
arri,lwz-1,15.5-45,2.6,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5-45mm arri lwz-1 t2.6
arri,lwz-2,15.5-45,2.6,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5-45mm arri lwz-2 t2.6
arri,macro,50,3,prime,,,spherical,,,,,,,,,,,,,,,,,,,,,macro,,,,,,,50mm arri macro t3
arri,macro,16,2.1,prime,,,spherical,,,,,,,,,,,,,,,,,,,,,macro,,,,,,,16mm arri macro t2.1
arri,macro,24,2.1,prime,,,spherical,,,,,,,,,,,,,,,,,,,,,macro,,,,,,,24mm arri macro t2.1
