Manufacturer,Series,Focal Length,T-Stop,Prime / Zoom / Special,Format,Mount,Anamorphic / Spherical,Anamorphic Squeeze Factor,Anamorphic Location,Housing,Front Diameter (mm),Close Focus,Length (in),Film Compatibility,Image Circle (mm),Iris Blade Count,Extender,LDS,i/Data,Support Recommended,Support Post Length (mm),Weight (lbs),Manufacture Year,Expander,Heden Motor Size,Size,Notes,Use Case,Look,Bokeh,Flare,Focus Falloff,Breathing,Focus Scale
Zeiss,Standard Speed,8mm,2.1,Prime,16mm Format,PL,Spherical,,,,80mm,"8""","2""",16mm ONLY OK,13mm,6 (triangle),None,No,,,N/A,1.2 lbs,,,,,Vintage,,,,,,,
Zeiss,Super Speed,9.5mm,1.3,Prime,16mm Format,PL,Spherical,,,,80mm,"10""","2.5"" - 2.6""",16mm ONLY OK,15mm,6 (triangle),None,No,,,N/A,1.6 lbs,,,,,Vintage / Telescoping,,,,,,,
Zeiss,Super Speed,12mm,1.3,Prime,16mm Format,PL,Spherical,,,,80mm,"8""","2.5"" - 2.6""",16mm ONLY OK,17mm,6 (triangle),None,No,,,N/A,1.6 lbs,,,,,Vintage / Telescoping,,,,,,,
Zeiss,Super Speed,16mm,1.3,Prime,16mm Format,PL,Spherical,,,,80mm,"8""","2.5"" - 2.7""",16mm ONLY OK,21mm,6 (triangle),None,No,,,N/A,1.4 lbs,,,,,Vintage / Telescoping,,,,,,,
Zeiss,Super Speed,25mm,1.3,Prime,16mm Format,PL,Spherical,,,,80mm,"10""","2.5"" - 2.7""",16mm ONLY OK,24mm,6 (triangle),None,No,,,N/A,1.5 lbs,,,,,Vintage / Telescoping,,,,,,,
Zeiss,Super Speed,50mm,1.3,Prime,16mm Format,PL,Spherical,,,,80mm,"28""","2.5"" - 2.85""",16mm ONLY OK,34mm,6 (triangle),None,No,,,N/A,2 lbs,,,,,Vintage / Telescoping,,,,,,,
Zeiss,Ultra Prime,6mm,1.3,Prime,16mm Format,PL,Spherical,,,,95mm,"8""","3.6""",16mm ONLY OK,15mm,9,None,No,,,N/A,2.2 lbs,,,,,,,,,,,,
Zeiss,Ultra Prime,8mm,1.3,Prime,16mm Format,PL,Spherical,,,,95mm,"12""","3.6""",16mm ONLY OK,16mm,9,None,No,,,N/A,2.2 lbs,,,,,,,,,,,,
Zeiss,Ultra Prime,9.5mm,1.3,Prime,16mm Format,PL,Spherical,,,,95mm,"12""","3.6""",16mm ONLY OK,16mm,9,None,No,,,N/A,2 lbs,,,,,,,,,,,,
Zeiss,Ultra Prime,12mm,1.3,Prime,16mm Format,PL,Spherical,,,,95mm,"12""","3.6""",16mm ONLY OK,16mm,9,None,No,,,N/A,2.4 lbs,,,,,,,,,,,,
Zeiss,Ultra Prime,14mm,1.3,Prime,16mm Format,PL,Spherical,,,,95mm,"12""","3.6""",16mm ONLY OK,17mm,9,None,No,,,N/A,2.1 lbs,,,,,,,,,,,,
Zeiss,Ultra Prime,18mm,1.3,Prime,16mm Format,PL,Spherical,,,,95mm,"12""","3.6""",16mm ONLY OK,,,,No,,,N/A,2.6 lbs,,,,,,,,,,,,
Zeiss,Ultra Prime,25mm,1.3,Prime,16mm Format,PL,Spherical,,,,95mm,"12""","3.6""",16mm ONLY OK,,,,No,,,N/A,2.6 lbs,,,,,,,,,,,,
