Manufacturer,Series,Focal Length,T-Stop,Prime / Zoom / Special,Format,Mount,Anamorphic / Spherical,Anamorphic Squeeze Factor,Anamorphic Location,Housing,Front Diameter (mm),Close Focus,Length (in),Film Compatibility,Image Circle (mm),Iris Blade Count,Extender,LDS,i/Data,Support Recommended,Support Post Length (mm),Weight (lbs),Manufacture Year,Expander,Heden Motor Size,Size,Notes,Use Case,Look,Bokeh,Flare,Focus Falloff,Breathing,Focus Scale
zeiss,standard speed,8,2.1,prime,16mm format,pl,spherical,,,,80,8,2,16mm only ok,13,6,,no,,,,1.2,,,,,vintage,,,,,,,
zeiss,super speed,9.5,1.3,prime,16mm format,pl,spherical,,,,80,10,2.5 - 2.6,16mm only ok,15,6,,no,,,,1.6,,,,,vintage / telescoping,,,,,,,
zeiss,super speed,12,1.3,prime,16mm format,pl,spherical,,,,80,8,2.5 - 2.6,16mm only ok,17,6,,no,,,,1.6,,,,,vintage / telescoping,,,,,,,
zeiss,super speed,16,1.3,prime,16mm format,pl,spherical,,,,80,8,2.5 - 2.7,16mm only ok,21,6,,no,,,,1.4,,,,,vintage / telescoping,,,,,,,
zeiss,super speed,25,1.3,prime,16mm format,pl,spherical,,,,80,10,2.5 - 2.7,16mm only ok,24,6,,no,,,,1.5,,,,,vintage / telescoping,,,,,,,
zeiss,super speed,50,1.3,prime,16mm format,pl,spherical,,,,80,28,2.5 - 2.85,16mm only ok,34,6,,no,,,,2,,,,,vintage / telescoping,,,,,,,
zeiss,ultra prime,6,1.3,prime,16mm format,pl,spherical,,,,95,8,3.6,16mm only ok,15,9,,no,,,,2.2,,,,,,,,,,,,
zeiss,ultra prime,8,1.3,prime,16mm format,pl,spherical,,,,95,12,3.6,16mm only ok,16,9,,no,,,,2.2,,,,,,,,,,,,
zeiss,ultra prime,9.5,1.3,prime,16mm format,pl,spherical,,,,95,12,3.6,16mm only ok,16,9,,no,,,,2,,,,,,,,,,,,
zeiss,ultra prime,12,1.3,prime,16mm format,pl,spherical,,,,95,12,3.6,16mm only ok,16,9,,no,,,,2.4,,,,,,,,,,,,
zeiss,ultra prime,14,1.3,prime,16mm format,pl,spherical,,,,95,12,3.6,16mm only ok,17,9,,no,,,,2.1,,,,,,,,,,,,
zeiss,ultra prime,18,1.3,prime,16mm format,pl,spherical,,,,95,12,3.6,16mm only ok,,,,no,,,,2.6,,,,,,,,,,,,
zeiss,ultra prime,25,1.3,prime,16mm format,pl,spherical,,,,95,12,3.6,16mm only ok,,,,no,,,,2.6,,,,,,,,,,,,
zeiss,ultra prime,35,1.3,prime,16mm format,pl,spherical,,,,95,14,3.6,16mm only ok,,,,no,,,,2.4,,,,,,,,,,,,
