Manufacturer,Series,Focal Length,T-Stop,Prime / Zoom / Special,Format,Mount,Anamorphic / Spherical,Anamorphic Squeeze Factor,Anamorphic Location,Housing,Front Diameter (mm),Close Focus,Length (in),Film Compatibility,Image Circle (mm),Iris Blade Count,Extender,LDS,i/Data,Support Recommended,Support Post Length (mm),Weight (lbs),Manufacture Year,Expander,Heden Motor Size,Size,Notes,Use Case,Look,Bokeh,Flare,Focus Falloff,Breathing,Focus Scale,Original Name,Needs Review,Confidence Score,
Cooke, Anamorphic,100,T2.3,Prime,,,Anamorphic,1.8x,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm Cooke Anamorphic 1.8x Lens T2.3,TRUE,0.375,
Cooke, Anamorphic,135,T2.3,Prime,,,Anamorphic,1.8x,,,,,,,,,,,,,,,,,,,,,,,,,,,135mm Cooke Anamorphic 1.8x Lens T2.3,TRUE,0.375,
Cooke, Anamorphic,180,T2.9,Prime,,,Anamorphic,1.8x,,,,,,,,,,,,,,,,,,,,,,,,,,,180mm Cooke Anamorphic 1.8x Lens T2.9,TRUE,0.375,
Statera, Anamorphic,50,T2.1,Prime,,,Anamorphic,1.5x,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,50mm Statera Anamorphic 1.5x T2.1 - Ancient Optics,TRUE,0.4418604651,
Statera, Anamorphic,75,T2.1,Prime,,,Anamorphic,1.5x,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,75mm Statera Anamorphic 1.5x T2.1 - Ancient Optics,TRUE,0.4418604651,
Statera, Anamorphic,95,T2.1,Prime,,,Anamorphic,1.5x,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,95mm Statera Anamorphic 1.5x T2.1 - Ancient Optics,TRUE,0.4418604651,
Statera, Anamorphic,135,T2.1,Prime,,,Anamorphic,1.5x,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,135mm Statera Anamorphic 1.5x T2.1 - Ancient Optics,TRUE,0.4545454545,
Statera, Anamorphic,35,T2.1,Prime,,LPL,Anamorphic,1.5x,,Ancient Optics,,,,,,,,,,,,,,,,,LPL,,,,,,,,35mm Statera Anamorphic 1.5x T2.1 - Ancient Optics (LPL),TRUE,0.4583333333,
Statera, Anamorphic,40,T2.1,Prime,,LPL,Anamorphic,1.5x,,Ancient Optics,,,,,,,,,,,,,,,,,LPL,,,,,,,,40mm Statera Anamorphic 1.5x T2.1 - Ancient Optics (LPL),TRUE,0.4583333333,
Swift,960 Series Microscope Lens,960,,Special,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swift 960 Series Microscope Lens,TRUE,0.3928571429,
Fujinon,Alura,18-80,T2.6,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-80mm Arri Alura Fujinon Zoom T2.6,FALSE,0.7741935484,
Fujinon,Alura,30-80,T2.8,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-80mm Arri Alura Fujinon Zoom T2.8,FALSE,0.7741935484,
Fujinon,Alura,45-250,T2.6,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-250mm Arri Alura Fujinon Zoom T2.6,FALSE,0.78125,
Fujinon,Alura,15.5-45,T2.8,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5-45mm Arri Alura Fujinon Zoom T2.8,FALSE,0.7878787879,
