Manufacturer,Series,Focal Length,T-Stop,Prime / Zoom / Special,Format,Mount,Anamorphic / Spherical,Anamorphic Squeeze Factor,Anamorphic Location,Housing,Front Diameter (mm),Close Focus,Length (in),Film Compatibility,Image Circle (mm),Iris Blade Count,Extender,LDS,i/Data,Support Recommended,Support Post Length (mm),Weight (lbs),Manufacture Year,Expander,Heden Motor Size,Size,Notes,Use Case,Look,Bokeh,Flare,Focus Falloff,Breathing,Focus Scale,Original Name,Needs Review,Confidence Score
Angenieux,EZ-2,15-40/22-60,,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-40/22-60 EZ-2 Front,True,0.55
Angenieux,Optimo Ultra,24-290/26-320/36-435,,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,24-290/26-320/36-435 Angenieux Optimo Ultra Front,False,0.7777777777777778
Angenieux,Optimo,25-250/44-440,,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-250/44-440 Angenieux Optimo Front,False,0.7575757575757576
Angenieux,EZ-1,30-90/45-135,,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-90/45-135 Angenieux EZ-1 Front,False,0.7
Angenieux,Optimo Ultra,26-320,T3.1,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-320 Angenieux Optimo Ultra T3.1 - Rear,False,0.8285714285714286
Ancient Optics,,20-120,,Zoom,,,Spherical,,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,20-120mm Angenieux Zoom REAR - Ancient Optics,True,0.5641025641025641
Ancient Optics,,24-144,,Zoom,,,Spherical,,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,24-144mm Angenieux Zoom REAR - Ancient Optics,True,0.5641025641025641
Ancient Optics,,33-198,,Zoom,,,Spherical,,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,33-198mm Angenieux Zoom REAR - Ancient Optics,True,0.5641025641025641
Ancient Optics,,33-198,,Zoom,,,Spherical,,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,33-198mm Angenieux Zoom REAR - Ancient Optics,True,0.5641025641025641
Angenieux,Optimo Ultra Compact,21-56,,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,21-56mm Angenieux Optimo Ultra Compact Zoom,False,0.9210526315789472
Angenieux,,28-76,,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,Uncoated,,,,,,,,28-76mm Angenieux Front (Uncoated),False,0.6774193548387096
Angenieux,EZ-2,15-40,,Zoom,S35,,Spherical,,,,,,,,,,,,,,,,,,,,S35,,,,,,,,15-40mm Angenieux EZ-2 Rear (S35),False,0.6551724137931034
