,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,,Focal Length
ARRI / ZEISS,Standard Speed,8mm,2.1,"8""",1.2 lbs,"2""",80mm,PL,13mm,16mm ONLY OK,6 (triangle),None,No,N/A,,Vintage,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,,
ARRI / ZEISS,Super Speed,9.5mm,1.3,"10""",1.6 lbs,"2.5"" - 2.6""",80mm,PL,15mm,16mm ONLY OK,6 (triangle),None,No,N/A,,Vintage / Telescoping,,,,,,,,,
,,12mm,1.3,"8""",1.6 lbs,"2.5"" - 2.6""",80mm,PL,17mm,16mm ONLY OK,6 (triangle),None,No,N/A,,Vintage / Telescoping,,,,,,,,,
,,16mm,1.3,"8""",1.4 lbs,"2.5"" - 2.7""",80mm,PL,21mm,16mm ONLY OK,6 (triangle),None,No,N/A,,Vintage / Telescoping,,,,,,,,,
,,25mm,1.3,"10""",1.5 lbs,"2.5"" - 2.7""",80mm,PL,24mm,16mm ONLY OK,6 (triangle),None,No,N/A,,Vintage / Telescoping,,,,,,,,,
,,50mm,1.3,"28""",2 lbs,"2.5"" - 2.85""",80mm,PL,34mm,16mm ONLY OK,6 (triangle),None,No,N/A,,Vintage / Telescoping,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,,
ARRI / ZEISS,Ultra Prime,6mm,1.3,"8""",2.2 lbs,"3.6""",95mm,PL,15mm,16mm ONLY OK,9,None,No,N/A,,,,,,,,,,,
,,8mm,1.3,"12""",2.2 lbs,"3.6""",95mm,PL,16mm,16mm ONLY OK,9,None,No,N/A,,,,,,,,,,,
,,9.5mm,1.3,"12""",2 lbs,"3.6""",95mm,PL,16mm,16mm ONLY OK,9,None,No,N/A,,,,,,,,,,,
,,12mm,1.3,"12""",2.4 lbs,"3.6""",95mm,PL,16mm,16mm ONLY OK,9,None,No,N/A,,,,,,,,,,,
,,14mm,1.3,"12""",2.1 lbs,"3.6""",95mm,PL,17mm,16mm ONLY OK,9,None,No,N/A,,,,,,,,,,,
,,18mm,1.3,"12""",2.6 lbs,"3.6""",95mm,PL,,16mm ONLY OK,,,No,N/A,,,,,,,,,,,
,,25mm,1.3,"12""",2.6 lbs,"3.6""",95mm,PL,,16mm ONLY OK,,,No,N/A,,,,,,,,,,,
,,35mm,1.3,"14""",2.4 lbs,"3.6""",95mm,PL,,16mm ONLY OK,,,No,N/A,,,,,,,,,,,
,,50mm,1.3,"16""",2.6 lbs,"3.6""",95mm,PL,,16mm ONLY OK,,,No,N/A,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,,
Cooke,SK4,6mm,2,"8""",3.5 lbs,"4.5""",110mm,PL,15mm,16mm ONLY OK,8,Century 2X (16mm),No,N/A,2007,"No precise focus scale, estimations only",,,,,,,,,
,,9.5mm,2,"8""",3.4 lbs,"4.5""",110mm,PL,16mm,16mm ONLY OK,8,Century 2X (16mm),No,N/A,2007,,,,,,,,,,
,,12mm,2,"8""",3.4 lbs,"4.5""",110mm,PL,16mm,16mm ONLY OK,8,Century 2X (16mm),No,N/A,2007,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,,
Optex,Super Cine,4mm,2,2',1.7 lbs,"3.75""",150mm,PL,15mm,16mm ONLY OK,12,None,No,N/A,,Vintage / Fisheye / Does not focus,,,,,,,,,
,,5.5mm,2,"8""",1.8 lbs,"3.3""",95mm,PL,15mm,16mm ONLY OK,12,None,No,N/A,,Vintage / Rectilinear,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,,
Optika,Elite,4.5mm,2.2,"6""",1.2 lbs,"2.1""",70mm,PL,13mm,16mm ONLY OK,8,No,No,N/A,,"Vintage / Fish-eye / Available drop-in filters: clear, ND.3, ND.6, ND.9, 85, 85N3, 85N6, 85N9",,,,,,,,,
,,6.6mm,1.3,"8""",2.9 lbs,"4.4""",104mm,PL,,16mm ONLY OK,,,No,N/A,,Vintage / Not currently in inventory,,,,,,,,,
,,7mm,1.3,"8""",2.4 lbs,"2.9""",104mm,PL,15mm,16mm ONLY OK,10,None,No,N/A,,Vintage,,,,,,,,,
,,8mm,1.3,"10""",1.8 lbs,"3.2""",80mm,PL,,16mm ONLY OK,,,No,N/A,,Vintage / Not currently in inventory,,,,,,,,,
,,9.5mm,1.3,"10""",1.6 lbs,"3.2""",80mm,PL,,16mm ONLY OK,,,No,N/A,,Vintage / Not currently in inventory,,,,,,,,,
,,12mm,1.3,"10""",1.5 lbs,"3.2""",80mm,PL,,16mm ONLY OK,,,No,N/A,,Vintage / Not currently in inventory,,,,,,,,,
,,14mm,1.3,"10""",1.7 lbs,"3.2""",80mm,PL,,16mm ONLY OK,,,No,N/A,,Vintage / Not currently in inventory,,,,,,,,,
,,16mm,1.3,"10""",1.8 lbs,"3.2""",80mm,PL,,16mm ONLY OK,,,No,N/A,,Vintage / Not currently in inventory,,,,,,,,,
