,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,,,,,,,Focal Length
ARRI / ZEISS ,LWZ.1,15.5-45mm,2.6,"18""",4.4 lbs,"8.2""",114mm,PL,31.1mm,,9,,N/A,No,N/A,,,Older film era version of LWZ.2,,,,,,,
ARRI / ZEISS ,LWZ.2,15.5-45mm,2.6,"18""",4.4 lbs,"8.2""",114mm,PL,31.1mm,,9,,N/A,No,N/A,,,EF Mount compatible,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,,,,,,,
ARRI / ZEISS ,Master Zoom,16.5-110mm,2.6,"2' 4""",29 lbs,"17.4""",165mm,PL,31mm,35mm OK,11,None,,Yes,Attached to lens,,N/A (No bracket),Not currently in inventory,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,,,,,,,
ARRI / ZEISS ,Ultra Wide Zoom,9.5-18mm,2.9,"1' 9""",10.5 lbs,"13.25""",134mm / 156mm,PL,34.5mm,,9,"IBE 1.4X, IBE 2X, Ang 2X",Duclos 1.7X,Yes,30mm,,N/A (No bracket),Rectilinear / Produces inverted image,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,,,,,,,
ARRI / ZEISS ,Variable Prime,16-30mm,2.2,2',10.2 lbs,"6.7""",150mm,PL,31mm,35mm OK,6,"IBE 1.4X, IBE 2X",,No,Attached to lens,,Standard / Large,,,,,,,,
,,29-60mm,2.2,"2' 9""",14.4 lbs,"9.5""",150mm,PL,33mm,35mm OK,6,"IBE 1.4X, IBE 2X",,No,Attached to lens,,Standard / Large,,,,,,,,
,,55-105mm,2.2,"2' 9""",12.6 lbs,"8.4""",150mm,PL,35mm,35mm OK,6,"IBE 1.4X, IBE 2X",,No,Attached to lens,,Standard / Large,,,,,,,,
,,,,,,,,,,,,,,,,,,Comes with a unique zoom stick.  Will get barcoded.  Alex 9/23/21,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,,,,,,,
ARRI / ZEISS ,Vario-Tessar FE,16-35mm,4,0.92',1.1 lbs,"3.8"" - 4.5""",75mm / 72mm filter thread,E,,NO,7,,,Yes,N/A,,,,,,,,,,
