,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,Focal Length
ARRI / Zeiss,Master Prime,12mm,1.3,"16""",6.6 lbs,"7.75""",156mm,PL,33mm,35mm OK,9,"IBE 1.4X, IBE 2X",,Yes,9mm,,Rectilinear,,,,,,,,
,,14mm,1.3,"14""",5.3 lbs,"6.75""",114mm,PL,34mm,35mm OK,9,"IBE 1.4X, IBE 2X",,Yes,N/A,2007,,,,,,,,,
,,16mm,1.3,"14""",5 lbs,"6""",114mm,PL,34mm,35mm OK,9,IBE 1.4X,Duclos 1.7X,Yes,N/A,2005,,,,,,,,,
,,18mm,1.3,"14""",5 lbs,"6""",114mm,PL,33.5mm,35mm OK,9,"IBE 1.4X, IBE 2X",,Yes,N/A,2005,,,,,,,,,
,,21mm,1.3,"14""",5.3 lbs,"6.2""",114mm,PL,35mm,35mm OK,9,"IBE 1.4X, IBE 2X",Duclos 1.7X,Yes,N/A,2005,,,,,,,,,
,,25mm,1.3,"14""",5.1 lbs,"6""",114mm,PL,35mm,35mm OK,9,"IBE 1.4X, IBE 2X",Duclos 1.7X,Yes,N/A,2005,,,,,,,,,
,,27mm,1.3,"14""",4.8 lbs,"6.2""",114mm,PL,35mm,35mm OK,9,"IBE 1.4X, IBE 2X",Duclos 1.7X,Yes,N/A,2005,,,,,,,,,
,,32mm,1.3,"14""",5.1 lbs,"6""",114mm,PL,36.5mm,35mm OK,9,"IBE 1.4X, IBE 2X",Duclos 1.7X,Yes,N/A,2005,,,,,,,,,
,,35mm,1.3,"14""",4.8 lbs,"6""",114mm,PL,40mm,35mm OK,9,"IBE 1.4X, IBE 2X",Duclos 1.7X,Yes,N/A,2005,,,,,,,,,
,,40mm,1.3,"16""",5.1 lbs,"6""",114mm,PL,39mm,35mm OK,9,"IBE 1.4X, IBE 2X",Duclos 1.7X,Yes,N/A,2005,,,,,,,,,
,,50mm,1.3,"20""",5.9 lbs,"6""",114mm,PL,43mm,35mm OK,9,"IBE 1.4X, IBE 2X",Duclos 1.7X,Yes,N/A,2005,,,,,,,,,
,,65mm,1.3,"2' 3""",5.7 lbs,"6.2""",114mm,PL,43mm,35mm OK,9,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",Duclos 1.7X,Yes,N/A,2005,,,,,,,,,
,,75mm,1.3,"2' 9""",6 lbs,"6""",114mm,PL,43mm,35mm OK,9,"IBE 1.4X, IBE 2X, Ang 2X",Duclos 1.7X,Yes,N/A,2005,,,,,,,,,
,,100mm,1.3,"3' 6""",6.2 lbs,"6""",114mm,PL,43mm,35mm OK,9,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex 2X",,Yes,N/A,2005,,,,,,,,,
,,100mm Macro,2.0 (4.3 at CF),"13.75""",5.7 lbs,"8""",114mm,PL,42mm,35mm OK,9,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",,Yes,19.5mm,,,,,,,,,,
,,135mm,1.3,"3' 3""",6.2 lbs,"6.75""",114mm,PL,43mm,35mm OK,9,IBE 1.4X,,Yes,N/A,2005,,,,,,,,,
,,150mm,1.3,5',9 lbs,"8.25""",134mm,PL,43mm,35mm OK,9,"IBE 1.4X, IBE 2X",,Yes,24mm,2007,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ARRI / Zeiss,Supreme Prime,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
,,15mm ,1.8,N/a,N/a,,114mm,PL/LPL/EF,46.2mm,,,"IBE 1.4X, IBE 2X, IBE 2X VV",,Yes,,2020,,,,,,,,,
,,18mm,1.5,N/a,N/a,,114mm,PL/LPL/EF,46.2mm,,,"IBE 1.4X, IBE 2X, IBE 2X VV",,Yes,,2020,,,,,,,,,
,,21mm,1.5,13.7”,3.3 lbs,4.7”,95mm,PL/LPL/EF,46.2mm,,,"IBE 1.4X, IBE 2X, IBE 2X VV",,Yes,,2019,,,,,,,,,
,,25mm,1.5,10”,3.13 lbs,4.7”,95mm,PL/LPL/EF,46.2mm,,,"IBE 1.4X, IBE 2X, IBE 2X VV",,Yes,,2018,,,,,,,,,
,,29mm,1.5,13”,3.55 lbs,4.8”,95mm,PL/LPL/EF,46.2mm,,,"IBE 1.4X, IBE 2X, IBE 2X VV",,Yes,,2018,,,,,,,,,
,,35mm,1.5,13”,3.09 lbs,4.7”,95mm,PL/LPL/EF,46.2mm,,,"IBE 1.4X, IBE 2X, IBE 2X VV",,Yes,,2018,,,,,,,,,
,,50mm,1.5,18”,2.69 lbs,4.7”,95mm,PL/LPL/EF,46.2mm,,,"IBE 1.4X, IBE 2X, IBE 2X VV",,Yes,,2018,,,,,,,,,
,,65mm,1.5,2’,3.59 lbs,4.8”,95mm,PL/LPL/EF,46.2mm,,,"IBE 1.4X, IBE 2X, IBE 2X VV",,Yes,,2019,,,,,,,,,
,,85mm,1.5,2’9”,3.13 lbs,4.7”,95mm,PL/LPL/EF,46.2mm,,,"IBE 1.4X, IBE 2X, IBE 2X VV",,Yes,,2018,,,,,,,,,
,,100mm,1.5,3’9”,3.74 lbs,4.7”,95mm,PL/LPL/EF,46.2mm,,,"IBE 1.4X, IBE 2X, IBE 2X VV",,Yes,,2018,,,,,,,,,
,,135mm,1.5,4’6”,5.4 lbs,5.7”,114mm,PL/LPL/EF,46.2mm,,,"IBE 1.4X, IBE 2X, IBE 2X VV",,Yes,,2019,,,,,,,,,
,,150mm,1.8,4’11”,5.4 lbs,5.7”,114mm,PL/LPL/EF,46.2mm,,,"IBE 1.4X, IBE 2X, IBE 2X VV",,Yes,,2019,,,,,,,,,
,,200mm,2.1,N/a,N/a,N/a,114mm,PL/LPL/EF,46.2mm,,,"IBE 1.4X, IBE 2X, IBE 2X VV",,Yes,,2020,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
ARRI / Zeiss,Ultra Prime,8mm (8R),2.8,"1' 3""",3.4 lbs,"5.12""",134mm,PL,31mm,35mm OK,9,None,,No,N/A,2005,Rectilinear,,,,,,,,
,,10mm,2.1,"1' 3""",6.4 lbs,"5.6""",156mm,PL,31mm,35mm OK,6,None,,No,N/A,1998,Rectilinear,,,,,,,,
,,12mm,2,1',4.4 lbs,"5.5""",156mm,PL,31mm,35mm OK,9,"IBE 1.4X, IBE 2X",,No,N/A,1998,,,,,,,,,
,,14mm,1.9,"9""",4 lbs,"4.4""",114mm,PL,30mm clear / 31.5mm with falloff,35mm OK,9,None,No,No,N/A,1998,,,,,,,,,
,,16mm,1.9,1',2.6 lbs,"3.7""",95mm,PL,30mm clear / 32mm with falloff,35mm OK,9,None,No,No,N/A,1998,,,,,,,,,
,,20mm,1.9,1',2.6 lbs,"3.6""",95mm,PL,33mm clear / 36mm with falloff,35mm OK,9,None,No,No,N/A,1998,,,,,,,,,
,,24mm,1.9,1',2.2 lbs,"3.6""",95mm,PL,34mm clear / 38mm with falloff,35mm OK,9,None,No,No,N/A,1998,,,,,,,,,
,,28mm,1.9,1',2.2 lbs,"3.6""",95mm,PL,35mm clear / 38mm with falloff,35mm OK,9,None,No,No,N/A,1998,,,,,,,,,
,,32mm,1.9,"1' 3""",2.4 lbs,"3.6""",95mm,PL,36mm clear / 38mm with falloff,35mm OK,9,None,No,No,N/A,1998,,,,,,,,,
,,40mm,1.9,"1' 3""",2.2 lbs,"3.6""",95mm,PL,38mm clear / 40mm with falloff,35mm OK,9,None,Duclos 1.7X,No,N/A,1998,,,,,,,,,
,,50mm,1.9,2',2.2 lbs,"3.6""",95mm,PL,38mm clear / 40mm with falloff,35mm OK,9,None,Duclos 1.7X,No,N/A,1998,,,,,,,,,
,,65mm,1.9,"2' 3""",2.4 lbs,"3.6""",95mm,PL,40mm clear / 43mm with falloff,35mm OK,9,"IBE 1.4X, IBE 2X",Duclos 1.7X,No,N/A,1998,,,,,,,,,
,,85mm,1.9,3',2.6 lbs,"3.6""",95mm,PL,40mm clear / 43mm with falloff,35mm OK,9,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex 2X",Duclos 1.7X,No,N/A,1998,,,,,,,,,
,,100mm,1.9,"3' 3""",2.6 lbs,"3.6""",95mm,PL,38mm clear / 43mm with falloff,35mm OK,10,None,No,No,N/A,1998,,,,,,,,,
,,135mm,1.9,5',3.5 lbs,"4.7""",95mm,PL,39mm clear / 43mm with falloff,35mm OK,10,"IBE 1.4X, IBE 2X",Duclos 1.7X,No,N/A,1998,,,,,,,,,
,,180mm,1.9,"8' 6""",5.7 lbs,"6.5""",114mm,PL,40mm clear / 43mm with falloff,35mm OK,9,"IBE 1.4X, IBE 2X",Duclos 1.7X,No,N/A,1998,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
ARRI / Zeiss,Ultra Prime LDS,12mm,2,"11.8""",4.8 lbs,"5.5""",156mm,PL,,35mm OK,9,,,Yes,N/A,,,,,,,,,,
,,14mm,1.9,"9""",4 lbs,"4.4""",114mm,PL,30mm clear / 31.5mm with falloff,35mm OK,9,None,,Yes,N/A,,,,,,,,,,
,,16mm,1.9,"12""",3.3 lbs,"3.9""",104mm,PL,30mm clear / 32mm with falloff,35mm OK,9,None,,Yes,N/A,,,,,,,,,,
,,20mm,1.9,"12""",3.3 lbs,"3.9""",104mm,PL,33mm clear / 36mm with falloff,35mm OK,9,None,,Yes,N/A,,,,,,,,,,
,,24mm,1.9,"11.8""",2.9 lbs,"3.6""",104mm,PL,34mm clear / 38mm with falloff,35mm OK,9,None,,Yes,N/A,,,,,,,,,,
,,28mm,1.9,"12""",3.3 lbs,"3.9""",104mm,PL,35mm clear / 38mm with falloff,35mm OK,9,None,,Yes,N/A,,,,,,,,,,
,,32mm,1.9,"15""",3.1 lbs,"3.9""",104mm,PL,36mm clear / 38mm with falloff,35mm OK,9,None,,Yes,N/A,,,,,,,,,,
,,40mm,1.9,"15""",3.3 lbs,"3.9""",104mm,PL,38mm clear / 40mm with falloff,35mm OK,9,None,,Yes,N/A,,,,,,,,,,
,,50mm,1.9,2',2.6 lbs,"3.9""",104mm,PL,38mm clear / 40mm with falloff,35mm OK,9,None,,Yes,N/A,,,,,,,,,,
,,65mm,1.9,"2' 3""",3.1 lbs,"3.9""",104mm,PL,40mm clear / 43mm with falloff,35mm OK,9,"IBE 1.4X, IBE 2X",,Yes,N/A,,,,,,,,,,
,,85mm,1.9,3',3.3 lbs,"3.9""",104mm,PL,40mm clear / 43mm with falloff,35mm OK,9,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex 2X",,Yes,N/A,,,,,,,,,,
,,100mm,1.9,"3' 3""",3.4 lbs,"3.9""",104mm,PL,38mm clear / 43mm with falloff,35mm OK,10,None,,Yes,N/A,,,,,,,,,,
,,135mm,1.9,5',4.2 lbs,"4.7""",104mm,PL,39mm clear / 43mm with falloff,35mm OK,10,"IBE 1.4X, IBE 2X",,Yes,N/A,,,,,,,,,,
,,180mm,1.9,"102.4""",6.2 lbs,"6.5""",114mm,PL,40mm clear / 43mm with falloff,35mm OK,9,,,Yes,N/A,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
ARRI / Zeiss,Standard Speed (T2.1),10mm,2.1,"14""",6.6 lbs,"5.6"" - 5.7""",156mm,PL,31mm,35mm OK,6,None,,No,N/A,,Mark II / Rectilinear,,,,,,,,
,Mark II,12mm,2.1,"10""",2.5 lbs,"3.4"" - 3.5""",135mm,PL,26mm clear / 30mm with falloff,35mm OK,6,None,No,No,N/A,,Mark II / Rectilinear / Telescoping,,,,,,,,
,(Uncoated Specs are the same),14mm,2.1,"9""",3.2 lbs,"4.4"" - 4.45""",114mm,PL,30mm clear / 32mm with falloff,35mm OK,7,None,No,No,N/A,,Mark II / Telescoping,,,,,,,,
,,16mm,2.1,"10"" (CF modified)",1.2 lbs,"2.12"" - 2.2""",80mm,PL,24mm clear / 30mm with falloff,35mm OK,6,None,No,No,N/A,,Mark II / Telescoping,,,,,,,,
,,24mm,2.1,"14"" (CF modified)",1 lb,"2.12"" - 2.25""",80mm,PL,26mm clear / 31mm with falloff,35mm OK,6,None,No,No,N/A,,Mark II / Telescoping,,,,,,,,
,,28mm,2.1,"11""",2.25 lbs,"3.1"" - 3.25""",80mm,PL,35mm clear / 39mm with falloff,35mm OK,7,"IBE 1.4X, IBE 2X",No,No,N/A,,Mark II / Telescoping,,,,,,,,
,,32mm,2.1,2' (CF modified),1 lb,"2.12"" - 2.25""",80mm,PL,24mm clear / 30mm with falloff,35mm OK,5,None,No,No,N/A,,Mark II / Telescoping,,,,,,,,
,,50mm,2.1,"1' 6""",1 lb,"2.2"" - 2.5""",80mm,PL,39mm clear / 43mm with falloff,35mm OK,6,"IBE 1.4X, IBE 2X",,No,N/A,,Mark II / Telescoping,,,,,,,,
,,85mm,2.1,3',1.5 lbs,"2.12"" - 2.5""",80mm,PL,39mm clear / 43mm with falloff,35mm OK,7,"IBE 1.4X, IBE 2X",,No,N/A,,Mark II / Telescoping,,,,,,,,
,,100mm,2.1,"3' 4""",1.6 lbs,"3"" - 3.5""",80mm,PL,40mm clear / 43mm with falloff,35mm OK,6,"IBE 1.4X, IBE 2X, Ang 2X",,No,N/A,,Mark II / Telescoping,,,,,,,,
,,135mm,2.1,5',2.25 lbs,"3.7"" - 4.2""",80mm,PL,40mm clear / 43mm with falloff,35mm OK,9,"IBE 1.4X, IBE 2X",,No,N/A,,Mark II / Telescoping,,,,,,,,
,,180mm,3,5',3 lbs,"4.8"" - 5.6""",80mm,PL,40mm clear / 43mm with falloff,35mm OK,9,"IBE 1.4X, IBE 2X",,No,N/A,,Mark II / Telescoping,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
ARRI / Zeiss,Standard Speed (T2.1),16mm,2.1,"10""",1.25 lbs,"2.12"" - 2.2""",80mm,PL,25mm clear / 30mm with falloff,35mm OK,6,None,No,No,N/A,,Mark I / Telescoping,,,,,,,,
,Mark I,20mm,2.1,"8""",1.3 lbs,"2.12"" - 2.5""",80mm,PL,28mm clear / 32mm with falloff,35mm OK,6 (triangle),None,No,No,N/A,,Mark I / Telescoping,,,,,,,,
,,24mm,2.1,"1' 2""",1.25 lbs,"2.2"" - 2.25""",80mm,PL,28mm clear / 31mm with falloff,35mm OK,6,None,No,No,N/A,,Mark I / Telescoping,,,,,,,,
,,32mm,2.1,2',0.8 lbs,"2.12"" - 2.4""",80mm,PL,25mm clear / 31mm with falloff,35mm OK,5,None,No,No,N/A,,Mark I / Telescoping,,,,,,,,
,,40mm,2.1,"16""",1 lb,"2.12"" - 2.3""",80mm,PL,32mm clear / 39mm with falloff,35mm OK,6,None,No,No,N/A,,Mark I / Telescoping,,,,,,,,
,,50mm,2.1,"1' 6""",1 lb,"2.2"" - 2.5""",80mm,PL,39mm clear / 43mm with falloff,35mm OK,6,"IBE 1.4X, IBE 2X",,No,N/A,,Mark I / Telescoping,,,,,,,,
,,60mm Macro,3 (4 1/3 at CF),"11""",1.75 lbs,"3.5"" - 4.75""",80mm,PL,38mm clear / 43mm with falloff,35mm OK,6,"IBE 1.4X, IBE 2X",,No,N/A,,Mark I / Telescoping,,,,,,,,
,,85mm,2.1,3',1.5 lbs,"2.12"" - 2.5""",80mm,PL,40mm clear / 43mm with falloff,35mm OK,7,"IBE 1.4X, IBE 2X",,No,N/A,,Mark I / Telescoping,,,,,,,,
,,100mm,2.1,"40""",1.75 lbs,"3"" - 3.5""",80mm,PL,41mm clear / 43mm with falloff,35mm OK,6,"IBE 1.4X, IBE 2X",,No,N/A,,Mark I / Telescoping,,,,,,,,
