,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,"Anamorphic
Squeeze
Factor",Extender,LDS,Support Post Length (mm),Manufacture Year,"Anamorphic
Location",Notes,,,,,
Ancient Optics,STATERA,35mm,2.1,,,,,LPL,FF+,NO,,1.5x,N/A,No,,,Middle,Not currently in inventory / Not released,,,,,
,,40mm,2.1,"1' 6""",8.4 lbs,"5""",136mm,LPL,FF+,NO,,1.5x,N/A,No,,,Middle,Not currently in inventory / Not released,,,,,
,,50mm,2.1,"1' 10""",5.10 lbs,"5""",125mm,LPL,FF+,NO,,1.5x,N/A,No,,,Middle,,,,,,
,,75mm,2.1,"1' 6""",5.82 lbs,"6.5""",125mm,LPL,FF+,NO,,1.5x,N/A,No,,,Middle,,,,,,
,,95mm,2.1,"2' 3""",9.10 lbs,"10""",125mm,LPL,FF+,NO,,1.5x,N/A,No,,,Middle,"There is a 100mm floating around online, but this is the Prototype. The final version we carry is a 95mm",,,,,
,,135mm,2.1,"2' 3""",10.30 lbs,"10.5""",125mm,LPL,FF+,NO,,1.5x,N/A,No,,,Middle,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,"Anamorphic
Squeeze
Factor",Extender,LDS,Support Post Length (mm),Manufacture Year,"Anamorphic
Location",Notes,,,,,
Atlas,Mercury,36mm,2.2,"1' 6""",2.7 lbs,"4.9""",95mm,PL,44.71mm,,,1.5x,,No,,2022,Front,,,,,,
,,42mm,2.2,2',2.3 lbs,"4.4""",95mm,PL,44.71mm,,,1.5x,,No,,2022,Front,,,,,,
,,54mm,2.2,"2' 6""",2.95 lbs,"5""",95mm,PL,44.71mm,,,1.5x,,No,,TBD,Front,Not currently in inventory,,,,,
,,72mm,2.2,3',3.6 lbs,"6.3""",95mm,PL,44.71mm,,,1.5x,,No,,2022,Front,,,,,,
,,95mm,2.2,3',4.4 lbs,"6.9""",95mm,PL,44.71mm,,,1.5x,,No,,TBD,Front,Not currently in inventory,,,,,
,,138mm,2.2,4',4.7 lbs,"8.1""",95mm,PL,44.71mm,,,1.5x,,No,,TBD,Front,Not currently in inventory,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
