,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,Focal Length
Bausch & Lomb,Super Baltar,20mm,2.3,"18""",2.2 lbs,"3.6"" - 3.7""",80mm (95mm for Clairmont),PL,32mm,35mm OK,10,"IBE 1.4X, IBE 2X",,No,N/A,,Telescoping / Vintage: 1960's,,,,,,,,
,,25mm,2.3,"18""",3 lbs,"5.2"" - 5.25""",80mm (95mm for Clairmont),PL,32mm,35mm OK,11,"IBE 1.4X, IBE 2X",,No,N/A,,Telescoping / Vintage: 1960's,,,,,,,,
,,35mm,2.3,"18""",1.4 lbs,"2.85"" - 3.1""",80mm (95mm for Clairmont),PL,34mm clear / 41mm with falloff,35mm OK,12,"IBE 1.4X, IBE 2X, Ang 2X",,No,N/A,,Telescoping / Vintage: 1960's,,,,,,,,
,,50mm,2.3,"18""",1.2 lb,"3.5"" - 3.8""",80mm (95mm for Clairmont),PL,34mm clear / 38mm with falloff,35mm OK,10,"IBE 1.4X, IBE 2X",,No,N/A,,Telescoping / Vintage: 1960's,,,,,,,,
,,75mm,2.3,"22""",1.3 lbs,"3.7"" - 4.25""",80mm (95mm for Clairmont),PL,40mm clear / 43mm with falloff,35mm OK,10,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",,No,N/A,,Telescoping / Vintage: 1960's,,,,,,,,
,,100mm,2.3,4',2.1 lbs,"4.2"" - 4.6""",80mm (95mm for Clairmont),PL,43mm,35mm OK,10,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex, 2X, Century 2X, Optitek 1.4X",,No,N/A,,Telescoping / Vintage: 1960's,,,,,,,,
,,152mm,2.8,,,,,PL,,35mm OK,,,,No,N/A,,Not currently in inventory / Vintage: 1960's,,,,,,,,
,,225mm,,,,,,PL,,35mm OK,,,,No,,,Not currently in inventory / Vintage: 1960's,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
Bausch & Lomb,Super Baltar,20mm,2.3,"18""",1.9 lbs,"3.08""",80mm,PL,,35mm OK,,,,No,,,Front Diameters may vary based on barcode,,,,,,,,
,,25mm,2.3,"18""",2.7 lbs,"4.71""",80mm/110mm,PL,,35mm OK,,,,No,,,Front Diameters may vary based on barcode,,,,,,,,
,,35mm,2.3,"18""",1.2 lbs,"2.65""",114mm,PL,,35mm OK,,,,No,,,Front Diameters may vary based on barcode,,,,,,,,
,,50mm,2.3,"18""",1 lbs,"3.18""",110mm,PL,,35mm OK,,,,No,,,Front Diameters may vary based on barcode,,,,,,,,
,,75mm,2.3,"22""",1.3 lbs,"3.35""",110mm,PL,,35mm OK,,,,No,,,Front Diameters may vary based on barcode,,,,,,,,
,,100mm,2.3,4',2.1 lbs,"4.18""",110mm,PL,,35mm OK,,,,No,,,Front Diameters may vary based on barcode,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
Bausch & Lomb,Super Baltar,20mm,2.3,"12""",3.2 lbs,"3.5""",110mm,PL,33mm,35mm OK,,"IBE 1.4X, IBE 2X",,No,N/A,,TLS / Vintage: 1960's,,,,,,,,
,,25mm,2.3,"12""",4.2 lbs,"5.25""",110mm,PL,32mm,35mm OK,,"IBE 1.4X, IBE 2X",,No,N/A,,TLS / Vintage: 1960's,,,,,,,,
,,35mm,2.3,"14""",2.6 lbs,"3.6""",110mm,PL,34mm clear / 38mm with falloff,35mm OK,,"IBE 1.4X, IBE 2X",,No,N/A,,TLS / Vintage: 1960's,,,,,,,,
,,50mm,2.3,"15""",2.6 lbs,"4.25""",110mm,PL,33mm clear / 38mm with falloff,35mm OK,,"IBE 1.4X, IBE 2X",,No,N/A,,TLS / Vintage: 1960's,,,,,,,,
,,75mm,2.3,"20""",3.2 lbs,"4.7""",110mm,PL,39mm clear / 43mm with falloff,35mm OK,,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex 2X",,No,N/A,,TLS / Vintage: 1960's,,,,,,,,
,,100mm,2.3,"3' 3""",4 lbs,"5.25""",110mm,PL,42mm clear / 43mm with falloff,35mm OK,,"IBE 1.4X, IBE 2X, Ang 2X",,No,N/A,,TLS / Vintage: 1960's,,,,,,,,
