,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,Focal Length
Nikon,Nikkor Prime (Zero Optiks),15mm,T4.0,1',2.49 lbs,"3.03""",114mm,PL,,,12,,,No,N/A,,Some models may feature 136mm front,,,,,,,,
,,20mm,T3.0,"10""",1.28 lbs,"2.16""",95mm,PL,,,,,,No,N/A,,,,,,,,,,
,,24mm,T2.2,1',1.52 lbs,,95mm,PL,,,,,,No,N/A,,,,,,,,,,
,,28mm,T2.2,"10""",1.74 lbs,,95mm,PL,,,,,,No,N/A,,,,,,,,,,
,,35mm,T1.5,1',1.87 lbs,,95mm,PL,,,,,,No,N/A,,,,,,,,,,
,,58mm,T1.3,"1' 1""",2.09 lbs,"3.38""",95mm,PL,,,,,,No,N/A,,,,,,,,,,
,,85mm,T1.9,"1' 10""",,,95mm,PL,,,,,,No,N/A,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
Nikon,Fisheye,6mm Fisheye,2.8,"11""",13.6 lbs,"7""","9""",PL,23mm,35mm OK,7,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",No,No,Studio rod support attached,1970s,Drop-in filter size: 40.5mm (Not available on all) / Modified to PL by Century or Focus Optics / Front cap attached and hinged / Vintage,,,,,,,,
,,8mm Fisheye,2.8,1',2.4 lbs,"4.75""",123mm,PL / F,23mm,35mm OK,7,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",Duclos 1.7x,No,N/A,1964,Drop-in filter size: 40.5mm / Modified to PL by Century or Focus Optics / Vintage,,,,,,,,
,,8mm Fisheye,3.2,1',2.4 lbs,"4.75""",123mm,PL / F,23mm,35mm OK,7,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",Duclos 1.7x,No,N/A,1964,Drop-in filter size: 40.5mm / Modified to PL by Century or Focus Optics / Vintage,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
Nikon,Nikkor,20mm,2.8,,0.6 lbs,"1.7"" - 1.8""",65mm,Z,,,7,,,No,N/A,,,,,,,,,,
,,24mm,2,,0.6 lbs,"2"" - 2.1""",54mm,Z,,,7,,,No,N/A,,,,,,,,,,
,,28mm,2,,0.8 lbs,"2.3"" - 2.5""",54mm,Z,,,7,,,No,N/A,,,,,,,,,,
,,35mm,1.4,,0.8 lbs,"2.5"" - 2.7""",54mm,Z,,,9,,,No,N/A,,,,,,,,,,
,,35mm,2,,,,,Z,,,,,,No,N/A,,,,,,,,,,
,,50mm,1.2,,0.8 lbs,"1.9"" - 2.1""",54mm,Z,,,9,,,No,N/A,,,,,,,,,,
