,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,"Anamorphic
Squeeze
Factor",Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,"Anamorphic
Location",Notes,,,,#N/A
Atlas,Orion,18mm,T2,,,,,PL,31mm,,,2x,,,No,,2024,,Regular & Silver,,,,
,,21mm,T2,"1' 6""",6.9 lbs,"7.4""",136mm,PL,31mm,,14,2x,"IBE 1.4X, IBE 2X",,No,,2023,,Regular & Silver,,,,
,,25mm,T2,"1' 6""",6.2 lbs,"7.4""",136mm,PL,31mm,,14,2x,"IBE 1.4X, IBE 2X",,No,,2022,,Regular & Silver,,,,
,,28mm,T2,"1' 6""",6.2 lbs,"7.4""",136mm,PL,31mm,,14,2x,"IBE 1.4X, IBE 2X",,No,,2023,,Regular & Silver,,,,
,,32mm,T2,1’9”,4.7 lbs,6.7”,114mm,PL,31mm,,14,2x,"IBE 1.4X, IBE 2X",,No,,2019,,Regular & Silver,,,,
,,40mm,T2,2’,5.2 lbs,7.4”,114mm,PL,31mm,,14,2x,"IBE 1.4X, IBE 2X",,No,,2019,,Regular & Silver,,,,
,,50mm,T2,2’6”,5 lbs,7”,114mm,PL,31mm,,14,2x,"IBE 1.4X, IBE 2X",,No,,2019,,Regular & Silver,,,,
,,65mm,T2,2’9”,5 lbs,7.2”,114mm,PL,31mm,,14,2x,"IBE 1.4X, IBE 2X",,No,,2019,,Regular & Silver,,,,
,,80mm,T2,3’,6lbs,8.5”,114mm,PL,31mm,,14,2x,"IBE 1.4X, IBE 2X",,No,,2019,,Regular & Silver,,,,
,,100mm,T2,3’6”,6.7”,10”,114mm,PL,31mm,,14,2x,"IBE 1.4X, IBE 2X",,No,,2019,,Regular & Silver,,,,
,,135mm,T2.2,,8.8 lbs,,,PL,31mm,,,2x,,,No,,2024,,Regular & Silver,,,,
,,200mm,T2.2,,9 lbs,,,PL,31mm,,,2x,,,No,,2024,,Regular & Silver,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,"Anamorphic
Squeeze
Factor",Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,"Anamorphic
Location",Notes,,,,
Caldwell,Chameleon,25mm,2,"2' 7""",,"5.63""",114mm,PL,31.1mm,,,1.79x,N/A,No,No,,2025,Middle,SC Coverage Mode,,,,
,,32mm,2,"2' 7""",6,"5.63""",114mm,PL,33mm,35mm OK,14,1.79x,N/A,No,No,,2022,Middle,SC Coverage Mode,,,,
,,40mm,2,"2' 7""",6,"5.63""",114mm,PL,33mm,35mm OK,14,1.79x,N/A,No,No,,2022,Middle,SC Coverage Mode,,,,
,,50mm,2,"2' 7""",6,"5.63""",114mm,PL,45mm,35mm OK,14,1.79x,N/A,No,No,,2022,Middle,SC Coverage Mode,,,,
,,60mm,2,"2' 7""",6,"5.63""",114mm,PL,45mm,35mm OK,14,1.79x,N/A,No,No,,2022,Middle,SC Coverage Mode,,,,
,,75mm,2,"2' 7""",6,"5.63""",114mm,PL,50mm,35mm OK,14,1.79x,N/A,No,No,,2022,Middle,SC Coverage Mode,,,,
,,100mm,2.6,"2' 7""",6,"5.63""",114mm,PL,50mm,35mm OK,14,1.79x,N/A,No,No,,2022,Middle,SC Coverage Mode,,,,
,,150mm,4,,,,,PL,45mm,35mm OK,,1.79x,N/A,No,No,,2022,Middle,SC Coverage Mode,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,"Anamorphic
Squeeze
Factor",Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,"Anamorphic
Location",Notes,,,,
