,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,"Anamorphic
Squeeze
Factor",Extender,Expander,LDS,Support Post Length (mm),Heden Motor Size,Anamorphic Location,Manufacture Year,Notes,,,,,Focal Length
Angenieux,A-2S Compact,30-72mm (compact),4,"2' 2""",5 lbs,"9""",114mm,PL,34mm,35mm OK,6,2x,"IBE 1.4X, IBE 2X",,No,36mm,Small,Rear,,,,,,,
,,56-152mm (compact),4,"2' 1""",5 lbs,"8.3""",114mm,PL,29mm clear / 35mm with falloff,35mm OK,6,2x,"IBE 1.4X, IBE 2X",,No,36mm,Small,Rear,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,"Anamorphic
Squeeze
Factor",Extender,Expander,LDS,Support Post Length (mm),Heden Motor Size,Anamorphic Location,Manufacture Year,Notes,,,,,
Angenieux,A-2S,42-420mm,4.5,"49""",16.75 lbs,"16.3""",136mm,PL,32mm,35mm OK,9,2x,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X",,Yes (cabled),12mm,Small / Medium,Rear,,,,,,,
,,44-440mm,4.5,"4' 1""",17.6 lbs,"16.25""",136mm,PL,32mm,35mm OK,9,2x,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X",,Yes (cabled),12mm,Small / Medium,Rear,,Converted from spherical 25-250mm,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,"Anamorphic
Squeeze
Factor",Extender,Expander,LDS,Support Post Length (mm),Heden Motor Size,Anamorphic Location,Manufacture Year,Notes,,,,,
Angenieux,HR Converted Spherical,34-204mm,4.1,"2' 6""",19.4 lbs,"16.5""",156mm,PL universal,30mm,35mm OK,12,2x,None,,No,Attached to lens,Small / Standard,Rear,1998,Converted from spherical 17-102mm HR / Drop-in filter size: 40.5mm / Vintage,,,,,
,,50-500mm,5,"5' 7""",10.4 lbs,"12.1""",136mm,PL universal,27mm,35mm OK,12,2x,None,,No,40mm for Duclos bracket / Attached to lens for Century bracket,Standard / Large,Rear,1991,Converted from spherical 25-250mm HR / Vintage,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,"Anamorphic
Squeeze
Factor",Extender,Expander,LDS,Support Post Length (mm),Heden Motor Size,Anamorphic Location,Manufacture Year,Notes,,,,,
Angenieux,Optimo Converted Spherical,48-580mm,4,4',24.7 lbs,"18.75""",162mm,PL universal,30mm,35mm OK,6,2x,None,,No,N/A,Small,Rear,2001,Converted from spherical 24-290mm,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,"Anamorphic
Squeeze
Factor",Extender,Expander,LDS,Support Post Length (mm),Heden Motor Size,Anamorphic Location,Manufacture Year,Notes,,,,,
ARRI,Ultra Wide,19-36mm,4.2,2',11.8 lbs,"15.1""",114mm,PL,32mm,,9,2x,"IBE 1.4X, IBE 2X",Duclos 1.7X,Yes,30mm,N/A (No bracket),Rear,,"renders image upside down,
image flip must be performed.",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,"Anamorphic
Squeeze
Factor",Extender,Expander,LDS,Support Post Length (mm),Heden Motor Size,Anamorphic Location,Manufacture Year,Notes,,,,,
Cooke,True Anamorphic,35-140mm,3.1,4',22.6 lbs,"16.8""",136mm,PL,29mm,,11,2x,"IBE 1.4X, IBE 2X / IBE VV",,Yes,Attached to lens,N/A (No bracket),Front,2016,,,,,,
,,45-450mm,4.5,6',,"22.4""",136mm,PL,,,,2x,,,No,Attached to lens,,Front,Never,"Never produced, Cooke cancelled manufacturing of this lens!",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,"Anamorphic
Squeeze
Factor",Extender,Expander,LDS,Support Post Length (mm),Heden Motor Size,Anamorphic Location,Manufacture Year,Notes,,,,,
Cooke,Converted Spherical,28-140mm,4.2,"28""",,,,PL universal,,35mm OK,,2x,None,,No,,,Rear,1986,Converted from spherical 14-70mm / Vintage,,,,,
,,36-200mm,4.2,"2' 4""",14 lbs,"13.25""",150mm,PL universal,31mm,35mm OK,6,2x,None,,No,28mm / Attached to lens,Standard,Rear,1987,Converted from spherical 18-100mm / Vintage,,,,,
,,40-120mm,4.4,"2' 4""",6.2 lbs,"9.75""",121mm,PL universal,32mm,35mm OK,9,2x,None,,No,Attached + 22mm,Small,Rear,1981,Converted from spherical 20-60mm / Vintage,,,,,
,,40-200mm,4.4,"2' 4""",11.2 lbs,"13.5""",144mm,PL universal,32mm,35mm OK,6,2x,None,,No,Attached to lens,Standard,Rear,1971,Converted from spherical 20-100mm / Vintage,,,,,
,,50-500mm,5.5,"5' 6""",11.2 lbs,"12""",136mm,PL universal,30mm,35mm OK,9,2x,None,,No,32mm,Standard,Rear,1992,Converted from spherical 25-250mm,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,"Anamorphic
Squeeze
Factor",Extender,Expander,LDS,Support Post Length (mm),Heden Motor Size,"Anamorphic
Location",Manufacture Year,Notes,,,,,
Elite,Lightweight,50-160mm LW,4.8,"3' 4""",2.9 lbs,"7.1""",110mm,PL,,,,2x,,,No,,,,,Vintage / Not currently in inventory,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,"Anamorphic
Squeeze
Factor",Extender,Expander,LDS,Support Post Length (mm),Heden Motor Size,Anamorphic Location,Manufacture Year,Notes,,,,,
Elite,Telephoto,240-1040mm,4.8,"13' 2""",40 lbs,"29""",182mm,PL,,,,2x,,,No,,,,,Vintage / Not currently in inventory,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
