"Super 35
Spherical Zooms",,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
Ancient Optics,Angenieux 6X,20-120mm,2.9,"3' 1""",17.30 lbs,,136mm,PL,Academy 35,,,,,No,,,,,
,,24-144mm,3.6,"3' 1""",17.60 lbs,,136mm,PL,S35,,,,,No,,,,,
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
Angenieux,HR,17-102mm,2.9,"2' 6""",19.2 lbs,"15.75""",156mm,PL universal,28mm,35mm OK,12,"2X ana., IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex, 2X, Century 2X, Optitek 1.4X",,No,Attached to lens,1998,Small / Standard,Drop-in filter size: 40.5mm,
Angenieux,HR,25-250mm,3.5,"5' 7""",10.5 lbs,"11.8""",136mm,PL universal,28mm,35mm OK,12,"2X ana., IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex, 2X, Century 2X, Optitek 1.4X",,No,40mm for Duclos bracket / Attached to lens for Century bracket,1991,Standard / Large,,
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
Angenieux,HP,20-120mm,2.9,"3' 6""",11 lbs,"11.7""",125mm,PL,28mm,35mm OK,8,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex, 2X, Century 2X, Optitek 1.4X",,No,35mm,1975,Standard,,
,,25-250mm,3.9,6',6.5 lbs,"10.3"" - 11""",110.6mm,PL universal,26mm,35mm OK,12,"2X ana., IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex, 2X, Century 2X, Optitek 1.4X",,No,32mm,1985,Small / Standard,Telescoping / Rotating front / Not currently in inventory,
,,25-625mm,4 or 8,"4' 4""",13.5 lbs,,,PL,,35mm OK,,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex, 2X, Century 2X, Optitek 1.4X",,No,,1980,,Not currently in inventory,
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
Angenieux,Original 10:1,25-250mm,3.2,,,,,PL,,35mm OK,,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex, 2X, Century 2X, Optitek 1.4X",,No,,1962,,Not currently in inventory,
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
Angenieux,Optimo,17-80mm,2.2,2',11 lbs,"12.8""",136mm,PL,28mm,35mm OK,6,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex 1.4X, Optex 2X",Duclos 1.7X,No,18mm,2004,Standard,,
,,19.5-94mm,2.6,"2' 0.5""",12.3 lbs,"13.12""",136mm,PL,31.4mm / 35mm with Ang 1.4X extender,35mm OK,6,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex 2X",,No,18mm,2012,Standard,17-80mm glass with built-in 1.17X rear extender,
,,24-290mm,2.8,4',24.5 lbs,"18""",162mm,PL universal,30mm / 31.4mm with Ang 1.4X extender,35mm OK,6,"2X ana., IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex, 2X, Century 2X, Optitek 1.4X","Duclos 1.7X, Atlas 1.4X",No,Attached to lens,2001,Small,,
,,25-250mm,3.5,4',17 lbs,"14.75""",136mm,PL,31mm,35mm OK,9,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex 2X, Century 2X",,Yes,12mm,2016,Standard,Converts to 44-440mm anamorphic / Drop-in filter size: 40.5mm,
,,28-340mm,3.2,"4' 0.5""",25.4 lbs,"17.8""",162mm,PL,34mm,35mm OK,6,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex 2X, Century 2X",,No,Attached to lens,2012,Small,24-290mm lens with built-in 1.17X rear extender,
,,29-351mm,3.5,"4' 1""",25.2 lbs,"17.9""",162mm,PL,35mm,35mm OK,6,None,,No,Attached to lens,,Standard,24-290mm lens with built-in 1.21X rear extender (Clairmont modification),
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
